doy,year,tmax,tmin
30,2017,2.336365223,-5.480196476
30,2018,1.406468987,-10.39834499
30,2019,8.352977753,-3.286607504
30,2020,9.338384628,1.980241895
31,2001,6.912785053,-2.609748125
31,2002,4.209392548,-5.929543495
31,2003,3.674820423,-5.610922813
31,2004,9.534589767,-5.091238022
31,2005,0.861622572,-7.339148045
31,2006,7.649469852,3.595056772
31,2007,4.527198792,-4.707612991
31,2008,1.826380968,-7.544345379
31,2009,13.24139786,0.189455479
31,2010,10.06758785,-1.358648062
31,2011,0.535993099,-12.22145462
31,2012,4.179687977,-8.709590912
31,2013,13.9178772,3.052740812
31,2014,13.4811554,-2.617205858
31,2015,2.172159672,-7.140087128
31,2016,1.110518932,-3.04288578
31,2017,2.312851667,-8.198440552
31,2018,4.663029194,-4.805886269
31,2019,3.808457136,-3.836985826
31,2020,8.258436203,1.093633652
32,2001,4.431790352,-5.526144981
32,2002,8.061156273,-5.733326435
32,2003,3.987702131,-7.699495792
32,2004,11.65215015,-2.847963095
32,2005,-3.626139879,-9.739575386
32,2006,4.867258549,-1.787044287
32,2007,1.733529925,-4.220369816
32,2008,3.733015537,-9.203400612
32,2009,11.97685814,-0.857732713
32,2010,5.77576685,-1.674872279
32,2011,6.610320091,-8.926445007
32,2012,-0.209039032,-8.677277565
32,2013,14.53407001,5.236210346
32,2014,18.98009872,5.491532326
32,2015,4.577863216,-8.426386833
32,2016,0.45899263,-5.775479317
32,2017,4.321748734,-5.159125328
32,2018,4.054449081,-6.292764664
32,2019,3.144445181,-6.015658855
32,2020,8.589952469,-1.645629764
33,2001,2.488936901,-9.144866943
33,2002,10.02910042,-1.996336937
33,2003,4.141531944,-7.181613445
33,2004,3.95203948,-2.446299553
33,2005,-0.098273695,-7.826772213
33,2006,4.251171112,-4.057599545
33,2007,1.426058888,-5.238352776
33,2008,4.996546268,-3.708091259
33,2009,13.57723808,2.715296745
33,2010,0.363773227,-5.176823616
33,2011,7.939195156,-4.192981243
33,2012,-5.053065777,-11.33236504
33,2013,6.008877754,-2.598722696
33,2014,14.3536377,6.423848629
33,2015,6.956585884,-4.673646927
33,2016,1.55862999,-8.11055851
33,2017,4.395973206,-7.050174236
33,2018,3.490204573,-8.054783821
33,2019,9.198576927,-3.811893702
33,2020,7.329250813,-1.4655509
34,2001,7.990028381,-2.92685008
34,2002,10.48023796,-3.825259209
34,2003,5.019261837,-6.97245121
34,2004,1.556825876,-4.733072281
34,2005,2.447975159,-4.774701118
34,2006,-1.104655504,-10.48205185
34,2007,9.479118347,-5.233696938
34,2008,4.521405697,-4.363543987
34,2009,10.88733864,3.396584034
34,2010,-0.641874492,-7.333799839
34,2011,8.748577118,-5.709169388
34,2012,-0.373426765,-10.70516109
34,2013,2.763892889,-5.27025032
34,2014,6.939734936,-4.831885338
34,2015,6.080759048,-5.003715992
34,2016,4.551994324,-7.409545898
34,2017,7.463618279,-3.349202394
34,2018,-1.010167241,-7.541809559
34,2019,12.29501343,4.209520817
34,2020,6.561505795,-2.127330303
35,2001,10.44948769,-0.658846498
35,2002,9.602726936,-2.222382545
35,2003,4.924771309,-2.799915552
35,2004,4.310301781,-5.722616196
35,2005,6.006875515,-4.800905704
35,2006,-0.433637112,-12.80169487
35,2007,11.8569622,-2.624439478
35,2008,3.34042716,-4.519602299
35,2009,12.27316666,0.31930685
35,2010,1.97034514,-8.076834679
35,2011,9.190101624,-3.088574886
35,2012,4.827290535,-6.492004395
35,2013,4.858125687,-1.253158808
35,2014,-1.236486077,-7.625417709
35,2015,4.680141449,-4.172194004
35,2016,4.802046776,-5.127103329
35,2017,10.10085106,-1.1629529
35,2018,-2.29184103,-9.361053467
35,2019,6.497554779,-0.988493741
35,2020,6.286880493,-5.378391743
36,2001,10.614501,-2.459882498
36,2002,11.43263054,-0.47131896
36,2003,4.031164169,-3.298553944
36,2004,0.607596099,-5.741204739
36,2005,5.768519402,-4.121051788
36,2006,0.980994344,-9.857193947
36,2007,13.1698904,-2.377391577
36,2008,1.201892853,-6.767799854
36,2009,8.331857681,-2.59634757
36,2010,2.247327328,-5.071479797
36,2011,7.238750935,-3.014878511
36,2012,6.46578598,-4.802037716
36,2013,3.247432947,-2.666915655
36,2014,1.65415287,-7.735368252
36,2015,4.982514381,-2.771756172
36,2016,4.457145214,-5.056483269
36,2017,6.189664841,1.828247905
36,2018,-1.601037145,-10.40672684
36,2019,13.40034771,-3.039233923
36,2020,1.132512569,-6.896095753
37,2001,9.390743256,1.058490396
37,2002,12.57985401,-3.05783391
37,2003,5.809932232,-6.485486984
37,2004,1.380797505,-7.477458954
37,2005,7.717751503,-5.978996277
37,2006,4.860737324,-3.285275459
37,2007,16.22897339,2.205155134
37,2008,2.077489376,-5.175222397
37,2009,9.8742342,-0.424432367
37,2010,4.051790237,-9.680347443
37,2011,9.232107162,-2.913622856
37,2012,5.720896721,-3.168675423
37,2013,2.024014711,-0.701563597
37,2014,6.663196564,-4.487943649
37,2015,6.712757111,-2.296066523
37,2016,2.767267466,-3.807505131
37,2017,4.000748158,-2.209652901
37,2018,-2.655056238,-10.9674902
37,2019,13.91361618,-0.086012006
37,2020,0.447911561,-9.228139877
38,2001,5.298851013,-3.342666388
38,2002,10.59353065,-0.871145368
38,2003,8.396575928,-3.247129917
38,2004,0.895992875,-5.05718565
38,2005,6.334173203,-1.016074777
38,2006,2.763498306,-2.054333925
38,2007,13.74427891,2.302488804
38,2008,2.375880718,-7.034151554
38,2009,9.343893051,-1.457082629
38,2010,9.178412437,-7.301137924
38,2011,7.075221062,-2.150843859
38,2012,2.73802352,-8.176656723
38,2013,0.481292158,-9.779169083
38,2014,9.500879288,-1.968377233
38,2015,6.592726707,-1.932645679
38,2016,3.311854839,-7.545156479
38,2017,5.841893673,-4.18684721
38,2018,-0.123514913,-12.2300787
38,2019,6.879765034,-4.751392365
38,2020,4.143473625,-6.814038277
39,2001,1.717895627,-7.172470093
39,2002,9.065176964,-2.001832962
39,2003,7.178033829,2.02282691
39,2004,8.148679733,-6.278162003
39,2005,3.806405544,-1.749084234
39,2006,-1.043547273,-6.117098331
39,2007,10.41649723,6.36232996
39,2008,3.96850729,-7.098777294
39,2009,10.73759747,-0.461746335
39,2010,9.783996582,4.150918961
39,2011,5.797712803,0.43720603
39,2012,-1.773893237,-10.07143879
39,2013,-3.344977379,-11.69080162
39,2014,5.353487968,0.84545666
